频道检测报告 | 时间: 2026-03-06 10:20:49.087694
🟢 [有效] CCTV-1高清(CCTV -1综合高清) | 耗时: 1.09s
🟢 [有效] CCTV-1高清(CCTV -1综合高清) | 耗时: 1.11s
🟢 [有效] CCTV-1超清        | 耗时: 1.16s
🟢 [有效] CCTV-1超清        | 耗时: 1.15s
🟢 [有效] CCTV-1高清        | 耗时: 1.1s
🟢 [有效] CCTV-1高清(CCTV -1综合高清) | 耗时: 1.13s
🔴 [失效] CCTV-13高清       | 无法获取视频流
🟢 [有效] CCTV-1高清(CCTV -1综合高清) | 耗时: 1.13s
🔴 [失效] CCTV-14高清       | 无法获取视频流
🔴 [失效] CCTV-14高清       | 无法获取视频流
🔴 [失效] CCTV-13高清       | 无法获取视频流
🔴 [失效] CCTV-14高清       | 无法获取视频流
🔴 [失效] CCTV-14高清       | 无法获取视频流
🟢 [有效] CCTV-1高清(CCTV -1综合高清) | 耗时: 1.2s
🟢 [有效] CCTV-1高清        | 耗时: 1.18s
🟢 [有效] CCTV-1超清        | 耗时: 1.23s
🔴 [失效] CCTV-14高清       | 无法获取视频流
🟢 [有效] CCTV-17农业高清     | 耗时: 1.96s
🔴 [失效] CCTV-14高清       | 无法获取视频流
🟢 [有效] CCTV-1高清        | 耗时: 1.22s
🔴 [失效] CCTV-14高清       | 无法获取视频流
🔴 [失效] CCTV-14高清       | 无法获取视频流
🔴 [失效] CCTV-14高清       | 无法获取视频流
🟢 [有效] CCTV-1高清        | 耗时: 1.24s
🟢 [有效] CCTV-1高清        | 耗时: 1.22s
🔴 [失效] CCTV-14高清       | 无法获取视频流
🟢 [有效] CCTV-13高清       | 耗时: 5.58s
🟢 [有效] CCTV-10高清测试(CCTV-10科教高清) | 耗时: 6.75s
🟢 [有效] CCTV-1高清        | 耗时: 1.31s
🔴 [失效] CCTV-14高清       | 无法获取视频流
🟢 [有效] CCTV-1高清        | 耗时: 1.2s
🟢 [有效] CCTV-1高清        | 耗时: 1.2s
🟢 [有效] CCTV-1高清        | 耗时: 1.17s
🔴 [失效] CCTV-14高清测试     | 无法获取视频流
🔴 [失效] CCTV-14高清测试     | 无法获取视频流
🟢 [有效] CCTV-1超清        | 耗时: 1.95s
🟢 [有效] CCTV-1高清        | 耗时: 1.2s
🟢 [有效] CCTV-1高清4M      | 耗时: 1.11s
🟢 [有效] CCTV-1高清(CCTV -1综合高清) | 耗时: 1.97s
🟢 [有效] CCTV-1高清4M      | 耗时: 1.19s
🟢 [有效] CCTV-1高清        | 耗时: 1.96s
🟢 [有效] CCTV-1超清        | 耗时: 2.08s
🟢 [有效] CCTV-1高清        | 耗时: 2.01s
🔴 [失效] CCTV-13高清       | 无法获取视频流
🔴 [失效] CCTV-13高清       | 无法获取视频流
🔴 [失效] CCTV-14高清测试     | 无法获取视频流
🟢 [有效] CCTV-1高清4M      | 耗时: 1.12s
🟢 [有效] CCTV-1高清4M      | 耗时: 1.12s
🟢 [有效] CCTV-1高清4M      | 耗时: 1.15s
🔴 [失效] CCTV-15高清       | 无法获取视频流
🟢 [有效] CCTV-1高清4M      | 耗时: 1.13s
🔴 [失效] CCTV-15高清       | 无法获取视频流
🟢 [有效] CCTV-1高清4M      | 耗时: 1.17s
🟢 [有效] CCTV-14高清测试     | 耗时: 5.52s
🟢 [有效] CCTV-2高清 (CAVS) | 耗时: 1.14s
🟢 [有效] CCTV-2高清 (CAVS) | 耗时: 1.16s
🟢 [有效] CCTV-1高清4M      | 耗时: 1.2s
🟢 [有效] CCTV-2高清 (CAVS) | 耗时: 1.16s
🔴 [失效] CCTV-15高清       | 无法获取视频流
🟢 [有效] CCTV-1高清        | 耗时: 2.37s
🟢 [有效] CCTV-2高清 (CAVS) | 耗时: 1.2s
🔴 [失效] CCTV-2高清测试(CCTV -2财经高清) | 无法获取视频流
🟢 [有效] CCTV-2高清        | 耗时: 1.15s
🔴 [失效] CCTV-15高清       | 无法获取视频流
🟢 [有效] CCTV-2高清        | 耗时: 1.19s
🟢 [有效] CCTV-2高清        | 耗时: 1.18s
🟢 [有效] CCTV-2高清        | 耗时: 1.25s
🔴 [失效] CCTV-16 4K      | 无法获取视频流
🔴 [失效] CCTV-16 4K      | 无法获取视频流
🔴 [失效] CCTV-16 4K      | 无法获取视频流
🔴 [失效] CCTV-16 4K      | 无法获取视频流
🟢 [有效] CCTV-2高清测试(CCTV -2财经高清) | 耗时: 1.12s
🟢 [有效] CCTV-2高清        | 耗时: 1.24s
🔴 [失效] CCTV-14高清测试     | 无法获取视频流
🟢 [有效] CCTV-2高清测试(CCTV -2财经高清) | 耗时: 1.24s
🟢 [有效] CCTV-1高清        | 耗时: 2.19s
🟢 [有效] CCTV-2高清 (CAVS) | 耗时: 1.79s
🟢 [有效] CCTV-1高清4M      | 耗时: 1.97s
🟢 [有效] CCTV-2高清测试(CCTV -2财经高清) | 耗时: 1.14s
🟢 [有效] CCTV-2高清测试(CCTV -2财经高清) | 耗时: 1.12s
🟢 [有效] CCTV-2高清        | 耗时: 1.91s
🟢 [有效] CCTV-16高清       | 耗时: 4.81s
🟢 [有效] CCTV-1高清4M      | 耗时: 2.1s
🟢 [有效] CCTV-2高清        | 耗时: 1.98s
🟢 [有效] CCTV-2高清 (CAVS) | 耗时: 2.1s
🟢 [有效] CCTV-2高清测试(CCTV -2财经高清) | 耗时: 1.15s
🔴 [失效] CCTV-16 4K      | 无法获取视频流
🟢 [有效] CCTV-3超清 (CAVS) | 耗时: 1.18s
🟢 [有效] CCTV-3超清 (CAVS) | 耗时: 1.13s
🟢 [有效] CCTV-3超清 (CAVS) | 耗时: 1.12s
🟢 [有效] CCTV-3超清 (CAVS) | 耗时: 1.21s
🟢 [有效] CCTV-3超清 (CAVS) | 耗时: 1.16s
🔴 [失效] CCTV-16 4K      | 无法获取视频流
🔴 [失效] CCTV-16 4K      | 无法获取视频流
🟢 [有效] CCTV-3超清 (CAVS) | 耗时: 1.21s
🔴 [失效] CCTV-16 4K      | 无法获取视频流
🟢 [有效] CCTV-3高清        | 耗时: 1.13s
🔴 [失效] CCTV-16 4K      | 无法获取视频流
🟢 [有效] CCTV-3高清        | 耗时: 1.22s
🟢 [有效] CCTV-3高清        | 耗时: 1.14s
🟢 [有效] CCTV-3高清        | 耗时: 1.19s
🟢 [有效] CCTV-3高清        | 耗时: 1.13s
🟢 [有效] CCTV-3超清 (CAVS) | 耗时: 1.37s
🟢 [有效] CCTV-1高清(CCTV -1综合高清) | 耗时: 3.76s
🟢 [有效] CCTV-2高清        | 耗时: 2.53s
🔴 [失效] CCTV-16高清       | 无法获取视频流
🟢 [有效] CCTV-2高清 (CAVS) | 耗时: 2.66s
🔴 [失效] CCTV-16高清       | 无法获取视频流
🟢 [有效] CCTV-3高清        | 耗时: 1.2s
🟢 [有效] CCTV-3高清        | 耗时: 1.11s
🟢 [有效] CCTV-2高清测试(CCTV -2财经高清) | 耗时: 1.96s
🟢 [有效] CCTV-4K 4K      | 耗时: 1.12s
🟢 [有效] CCTV-4K 4K      | 耗时: 1.23s
🔴 [失效] CCTV-16 4K      | 无法获取视频流
🟢 [有效] CCTV-4K 4K      | 耗时: 1.17s
🔴 [失效] CCTV-16高清       | 无法获取视频流
🔴 [失效] CCTV-17农业高清     | 无法获取视频流
🟢 [有效] CCTV-4K 4K      | 耗时: 1.27s
🟢 [有效] CCTV-4K 4K      | 耗时: 1.34s
🟢 [有效] CCTV-2高清        | 耗时: 3.22s
🟢 [有效] CCTV-4高清        | 耗时: 1.09s
🟢 [有效] CCTV-4高清        | 耗时: 1.11s
🟢 [有效] CCTV-4高清        | 耗时: 1.13s
🔴 [失效] CCTV-4高清        | 无法获取视频流
🟢 [有效] CCTV-4高清        | 耗时: 1.21s
🔴 [失效] CCTV-17农业高清     | 无法获取视频流
🟢 [有效] CCTV-4K 4K      | 耗时: 1.3s
🟢 [有效] CCTV-2高清测试(CCTV -2财经高清) | 耗时: 2.6s
🟢 [有效] CCTV-4高清        | 耗时: 1.18s
🟢 [有效] CCTV-4高清        | 耗时: 1.19s
🟢 [有效] CCTV-4高清        | 耗时: 1.18s
🔴 [失效] CCTV-17农业高清     | 无法获取视频流
🟢 [有效] CCTV-1高清        | 耗时: 4.39s
🟢 [有效] CCTV-3超清 (CAVS) | 耗时: 2.62s
🟢 [有效] CCTV-4高清        | 耗时: 1.16s
🟢 [有效] CCTV-4高清        | 耗时: 1.22s
🔴 [失效] CCTV-17农业高清     | 无法获取视频流
🟢 [有效] CCTV-4K 4K      | 耗时: 1.97s
🟢 [有效] CCTV-4高清        | 耗时: 1.12s
🟢 [有效] CCTV-4高清        | 耗时: 1.27s
🟢 [有效] CCTV-4高清        | 耗时: 1.14s
🔴 [失效] CCTV-1超清        | 无法获取视频流
🟢 [有效] CCTV-5+高清       | 耗时: 1.13s
🔴 [失效] CCTV-1超清        | 无法获取视频流
🔴 [失效] CCTV-16高清       | 无法获取视频流
🔴 [失效] CCTV-17农业高清     | 无法获取视频流
🟢 [有效] CCTV-4高清        | 耗时: 1.8s
🔴 [失效] CCTV-1超清        | 无法获取视频流
🔴 [失效] CCTV-1高清(CCTV -1综合高清) | 无法获取视频流
🟢 [有效] CCTV-4高清        | 耗时: 1.94s
🔴 [失效] CCTV-1高清(CCTV -1综合高清) | 无法获取视频流
🔴 [失效] CCTV-1高清(CCTV -1综合高清) | 无法获取视频流
🔴 [失效] CCTV-1超清        | 无法获取视频流
🟢 [有效] CCTV-4高清        | 耗时: 1.85s
🔴 [失效] CCTV-1高清        | 无法获取视频流
🔴 [失效] CCTV-1高清        | 无法获取视频流
🔴 [失效] CCTV-1高清(CCTV -1综合高清) | 无法获取视频流
🔴 [失效] CCTV-1高清(CCTV -1综合高清) | 无法获取视频流
🔴 [失效] CCTV-1高清        | 无法获取视频流
🟢 [有效] CCTV-4K 4K      | 耗时: 2.24s
🟢 [有效] CCTV-4高清        | 耗时: 1.98s
🟢 [有效] CCTV-5+高清       | 耗时: 1.21s
🟢 [有效] CCTV-5+高清       | 耗时: 1.21s
🟢 [有效] CCTV-5+高清       | 耗时: 1.15s
🟢 [有效] CCTV-5+高清       | 耗时: 1.21s
🔴 [失效] CCTV-1高清        | 无法获取视频流
🟢 [有效] CCTV-5超清 (CAVS) | 耗时: 1.22s
🟢 [有效] CCTV-4高清        | 耗时: 2.43s
🔴 [失效] CCTV-1高清        | 无法获取视频流
🟢 [有效] CCTV-5+高清       | 耗时: 1.33s
🔴 [失效] CCTV-1高清        | 无法获取视频流
🟢 [有效] CCTV-5超清 (CAVS) | 耗时: 1.16s
🔴 [失效] CCTV-1高清        | 无法获取视频流
🔴 [失效] CCTV-17农业高清     | 无法获取视频流
🟢 [有效] CCTV-5超清 (CAVS) | 耗时: 1.15s
🔴 [失效] CCTV-1高清        | 无法获取视频流
